Country,Day,Month,Year,Case
Vietnam,1,4,2020,218
Vietnam,2,4,2020,233
Vietnam,3,4,2020,237
Vietnam,4,4,2020,240
Vietnam,5,4,2020,241
Vietnam,6,4,2020,245
Vietnam,7,4,2020,249
Vietnam,8,4,2020,251
Vietnam,9,4,2020,255
Vietnam,10,4,2020,257
Vietnam,11,4,2020,258
Vietnam,12,4,2020,262
Vietnam,13,4,2020,265
Vietnam,14,4,2020,266
Vietnam,15,4,2020,267
Vietnam,16,4,2020,268
Vietnam,17,4,2020,268
Vietnam,18,4,2020,268
Vietnam,19,4,2020,268
Vietnam,20,4,2020,268
Vietnam,21,4,2020,268
Vietnam,22,4,2020,268
Vietnam,23,4,2020,268
Vietnam,24,4,2020,270
Vietnam,25,4,2020,270
Vietnam,26,4,2020,270
Vietnam,27,4,2020,270
Vietnam,28,4,2020,270
Vietnam,29,4,2020,270
Vietnam,30,4,2020,270
Vietnam,1,5,2020,270
US,1,4,2020,224560
US,2,4,2020,256792
US,3,4,2020,289087
US,4,4,2020,321477
US,5,4,2020,351354
US,6,4,2020,382747
US,7,4,2020,413516
US,8,4,2020,444731
US,9,4,2020,480667
US,10,4,2020,515081
US,11,4,2020,544183
US,12,4,2020,571440
US,13,4,2020,598380
US,14,4,2020,627205
US,15,4,2020,652611
US,16,4,2020,682626
US,17,4,2020,715656
US,18,4,2020,743588
US,19,4,2020,769684
US,20,4,2020,799512
US,21,4,2020,825429
US,22,4,2020,854288
US,23,4,2020,887858
US,24,4,2020,920185
US,25,4,2020,950581
US,26,4,2020,977082
US,27,4,2020,1000785
US,28,4,2020,1025362
US,29,4,2020,1051800
US,30,4,2020,1081020
US,1,5,2020,1115946
France,1,4,2020,56362
France,2,4,2020,58404
France,3,4,2020,63588
France,4,4,2020,46483
France,5,4,2020,47299
France,6,4,2020,49934
France,7,4,2020,46400
France,8,4,2020,50242
France,9,4,2020,54003
France,10,4,2020,55538
France,11,4,2020,56972
France,12,4,2020,107712
France,13,4,2020,110836
France,14,4,2020,128272
France,15,4,2020,131476
France,16,4,2020,144035
France,17,4,2020,145896
France,18,4,2020,149683
France,19,4,2020,150752
France,20,4,2020,153197
France,21,4,2020,155821
France,22,4,2020,157603
France,23,4,2020,155881
France,24,4,2020,158653
France,25,4,2020,160295
France,26,4,2020,160907
France,27,4,2020,164592
France,28,4,2020,167650
France,29,4,2020,166193
France,30,4,2020,167326
France,1,5,2020,167846
Italy,1,4,2020,110574
Italy,2,4,2020,115242
Italy,3,4,2020,119827
Italy,4,4,2020,124632
Italy,5,4,2020,128948
Italy,6,4,2020,132547
Italy,7,4,2020,135586
Italy,8,4,2020,139422
Italy,9,4,2020,143626
Italy,10,4,2020,147577
Italy,11,4,2020,152271
Italy,12,4,2020,156363
Italy,13,4,2020,159516
Italy,14,4,2020,162488
Italy,15,4,2020,165155
Italy,16,4,2020,168941
Italy,17,4,2020,172434
Italy,18,4,2020,175925
Italy,19,4,2020,178972
Italy,20,4,2020,181228
Italy,21,4,2020,183957
Italy,22,4,2020,187327
Italy,23,4,2020,189973
Italy,24,4,2020,192994
Italy,25,4,2020,195351
Italy,26,4,2020,197675
Italy,27,4,2020,199414
Italy,28,4,2020,201505
Italy,29,4,2020,203591
Italy,30,4,2020,205463
Italy,1,5,2020,207428
